model_name,sku,wishlistCount,qty,wishlist/stock
VC S13984,vincent-chase-vc-s13984-c4-sunglasses,2532,1906,1.328436516264428
LA E15849,lenskart-air-la-e15849-c2-eyeglasses,0,1104,0.0
LA E15017,lenskart-air-la-e15017-c4-eyeglasses,0,1154,0.0
VC E16454,vincent-chase-vc-e16454-c2-eyeglasses,0,1866,0.0
LA E16496,lenskart-air-la-e16496-c3-eyeglasses,0,538,0.0
JJ E16115,john-jacobs-jj-e16115-c3-eyeglasses,0,2339,0.0
VC E11260-S,vincent-chase-vc-e11260-s-c3-eyeglasses,0,1837,0.0
LA E13643,lenskart-air-la-e13643-c1-eyeglasses,1462,14489,0.10090413417075023
LA E14368,lenskart-air-la-e14368-c2-eyeglasses,2081,1593,1.3063402385436285
VC E16656,vincent-chase-vc-e16656-c2-eyeglasses,0,647,0.0
LA E16495,lenskart-air-la-e16495-c2-eyeglasses,0,512,0.0
JJ S13313,john-jacobs-jj-s13313-c1-sunglasses,2119,4214,0.5028476506881823
VC E13029,vincent-chase-vc-e13029-c1-eyeglasses,2254,4464,0.5049283154121864
VC E13393,vincent-chase-vc-e13393-c2-eyeglasses,1958,2293,0.8539031836022678
LA E11415,lenskart-air-la-e11415-fall-rim-rectgle-c-on-c3-eyeglasses,1402,830,1.689156626506024
LA E11889,lenskart-air-la-e11889-c3-eyeglasses,2981,2070,1.440096618357488
VC E16670,vincent-chase-vc-e16670-c2-eyeglasses,0,370,0.0
LA E16433,lenskart-air-la-e16433-c2-eyeglasses,0,1354,0.0
JJ E10007,john-jacobs-jj-e10007-c9-rectangle-eyeglasses,479,368,1.3016304347826086
VC E14972,vincent-chase-vc-e14972-c2-eyeglasses,0,1640,0.0
VC E13788,vincent-chase-vc-e13788-c3-eyeglasses,579,5170,0.11199226305609285
LA E15494,lenskart-air-la-e15494-c1-eyeglasses,0,1192,0.0
VC E16659,vincent-chase-vc-e16659-c1-eyeglasses,0,1040,0.0
LA E16434,lenskart-air-la-e16434-c1-eyeglasses,0,1235,0.0
JJ E11820,john-jacobs-jj-e11820-c4-eyeglasses,4011,1490,2.691946308724832
VC E14971,vincent-chase-vc-e14971-c2-eyeglasses,0,3676,0.0
VC E13033,vincent-chase-vc-e13033-c2-eyeglasses,9257,4829,1.9169600331331538
LA E14961,lenskart-air-la-e14961-c2-eyeglasses,0,4047,0.0
LA E14572,lenskart-air-la-e14572-c2-eyeglasses,0,1417,0.0
VC E16668,vincent-chase-vc-e16668-c2-eyeglasses,0,46,0.0
LA E16491,lenskart-air-la-e16491-c1-eyeglasses,0,1050,0.0
JJ E14409,john-jacobs-jj-e14409-c5-eyeglasses,0,4406,0.0
VC E16002,vincent-chase-vc-e16002-c1-eyeglasses,0,280,0.0
VC E14936,vincent-chase-vc-e14936-c1-eyeglasses,0,1360,0.0
LA E14962,lenskart-air-la-e14962-c1-eyeglasses,0,1866,0.0
LA E11821,lenskart-air-la-e11821-c5-eyeglasses,490,886,0.5530474040632054
VC E16606,vincent-chase-vc-e16606-c1-eyeglasses,0,1619,0.0
LA E16493,lenskart-air-la-e16493-c1-eyeglasses,0,1116,0.0
JJ E13105,john-jacobs-jj-e13105-c9-eyeglasses,0,777,0.0
VC E14209,vincent-chase-vc-e14209-c1-eyeglasses,4380,5581,0.7848055903959864
VC E10502,vincent-chase-vc-e10502-c-2-eyeglasses,3089,5809,0.5317610604234808
LA E11481,lenskart-air-la-e11481-foll-rim-rectangle-ultem-c1-eyeglasse,16094,1726,9.324449594438008
LA E14963,lenskart-air-la-e14963-c2-eyeglasses,0,1833,0.0
VC E16654,vincent-chase-vc-e16654-c2-eyeglasses,0,239,0.0
JJ E11675,john-jacobs-jj-e11675-c2-eyeglasses,9507,6823,1.3933753480873516
VC E14937,vincent-chase-vc-e14937-c2-eyeglasses,0,1281,0.0
LA E14529,lenskart-air-la-e14529-c2-eyeglasses,37,4453,0.008309005165057264
LA E15846,lenskart-air-la-e15846-c2-eyeglasses,0,4412,0.0
